CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,CH53,CH54,CH55,CH56,CH57,CH58,CH59,CH60,CH61,CH62,CH63,CH64,Humidity,Temp
138125920,6218184.5,7309.5,7308.2,7310,6389.3,6388,6389,14524.4,14524.2,14523.9,6211.1,6209.9,6213.3,405.8,406.9,9063.3,8671.4,5692.9,5695.2,5693.7,60176.9,60146.3,60187.1,8542.7,8540.3,8540.8,4803.5,4802,4809.3,1896.7,1889.4,1915.5,859.3,2398.7,2393.5,2394.2,1221.4,1220.6,1222.3,3445.9,3442.1,3442.8,6800.3,6799.2,6802.8,3613.2,3611.4,176.5,167,8756.3,8758.8,8766.2,3580.8,3582.9,3584,4419.6,4419.1,4421.8,16728.8,16712.9,16708.9,167,167,37.970001,25
131010808,6001285,7306.8,7305.6,7307.9,6385.2,6385.1,6388.7,14522.2,14519.3,14521.2,6210.1,6208.8,6212.2,405.8,406.9,9063.8,8671.5,5692,5694.2,5692.9,60154.9,60150.2,60146.9,8543.5,8541.1,8539.3,4803.2,4801,4808.3,1896.7,1889.5,1915.5,859.3,2398.2,2393,2394.1,1221.4,1220.4,1222.2,3445,3441.8,3442.4,6799.8,6798.3,6802.4,3613.3,3611.1,176.6,167,8763.9,8763.9,8765.9,3580,3580.3,3582.7,4417.1,4418.3,4418.6,16701.3,16686.2,16686,167,167,38.060001,25.01
125825616,6080762.5,7306.1,7304.3,7306.6,6382.8,6381.2,6384.6,14517.6,14516.3,14518.8,6208.4,6207.5,6211.8,405.8,406.9,9064.1,8671.7,5691,5693.4,5692.4,60135.1,60119.6,60121.2,8539.2,8537.2,8536.9,4802.1,4800.1,4807.5,1896.7,1889.5,1915.6,859.3,2397.7,2392.5,2393.5,1221.3,1220.4,1222.1,3444.7,3441.2,3441.8,6798,6797.6,6800.7,3613.7,3611.8,176.6,167,8756.1,8760.8,8760.6,3578.4,3580.4,3581.9,4415.2,4414.7,4416.5,16682.2,16682.7,16672.3,167,167,37.990002,25.01
133981504,5729934,7303.5,7301.4,7303.4,6380.6,6380.7,6383.2,14514.9,14514.9,14514.8,6207.3,6205.9,6210.1,405.8,406.9,9064.1,8672,5690.4,5692.9,5691.2,60116.1,60116.7,60118.3,8535.2,8533.6,8534.6,4801.7,4799.4,4806.6,1896.6,1889.5,1915.5,859.3,2397.4,2392.3,2393,1221.2,1220.3,1222,3444.4,3440.6,3440.8,6798.6,6797.3,6800.6,3614.3,3611.9,176.6,167,8753.2,8759.5,8754.9,3576.9,3578,3580.2,4416.7,4416.2,4420.2,16667.5,16673.3,16685.5,167,167,37.959999,25.01
133583752,6317780.5,7301.4,7299.1,7301.4,6379.2,6375.2,6378.2,14512.9,14510,14511.7,6206.4,6205.1,6209.4,405.8,406.9,9063.5,8672,5689.4,5691.8,5690.1,60132.8,60128.1,60127.7,8536.1,8534,8534.2,4800.8,4799.4,4806.3,1896.7,1889.5,1915.5,859.3,2396.9,2391.9,2392.9,1221.2,1220.2,1221.9,3444,3440.2,3440.9,6798.6,6798.2,6800.3,3613.1,3611.5,176.5,167,8753.2,8753.7,8753.4,3576.2,3578.3,3580.9,4414.6,4414.4,4417.5,16682.6,16670.6,16674.6,167,167,37.970001,25.01
133097448,6022602.5,7299.4,7298.3,7300.7,6376.8,6374.4,6379,14508.3,14508,14508.6,6205.7,6204.5,6208.4,405.8,406.9,9063.5,8671.7,5689.3,5691.5,5690.3,60172.7,60099.4,60093.5,8533.9,8531.7,8530.5,4800.2,4798.3,4805.8,1896.7,1889.5,1915.5,859.3,2396.7,2391.6,2392.4,1221.1,1220.1,1221.9,3443.1,3439.7,3440.4,6795.9,6795.2,6798.8,3613.6,3611.4,176.5,167,8746.4,8747.3,8754.5,3576,3577.6,3578.4,4411.4,4412.3,4413.6,16676,16672.5,16666.3,167,167,37.959999,25.01
134474304,6302193.5,7297.7,7296.3,7298.1,6373.9,6369.7,6374.1,14503.2,14501,14502,6204.1,6203.2,6207.2,405.8,406.9,9063.9,8671.7,5688.4,5690.5,5689.1,60062.9,60065.8,60077.6,8528.8,8528.5,8526.2,4800,4797.7,4805.3,1896.7,1889.5,1915.6,859.3,2396.5,2391.4,2392.3,1221,1220.1,1221.8,3442.9,3439.2,3439.7,6794.6,6794.4,6797.5,3612.6,3610.2,176.6,167,8749.4,8752.4,8757.5,3575.2,3576.7,3578.6,4412.5,4413.8,4415.9,16669,16674.7,16659,167,167,37.919998,25.059999
128084800,5913857,7295.1,7293.7,7296,6371.5,6368.6,6373.4,14502,14502.2,14502.5,6203.2,6202,6206,405.8,406.9,9063.6,8671.3,5686.8,5689.1,5687.2,60073.2,60073.1,60076.8,8525.6,8523.3,8525.3,4799.3,4796.9,4804.1,1896.7,1889.4,1915.6,859.3,2395.7,2390.6,2391.3,1221,1219.9,1221.6,3442.5,3439,3439.5,6795.3,6793.7,6797.5,3613.6,3611.5,176.5,167,8744.9,8745.2,8747.5,3573.1,3574.6,3576.9,4411,4411.1,4414.7,16672,16653.3,16663.9,167,167,37.93,25.01
136673664,6055520.5,7293.2,7291.6,7293.9,6369.4,6366.9,6371.2,14499.9,14499.3,14499.3,6202.4,6200.9,6204.2,405.8,406.9,9063.8,8671.5,5685.8,5688.6,5686.4,60059.5,60062.1,60062.9,8525.9,8526.7,8523.6,4798.5,4796.4,4804.1,1896.7,1889.6,1915.6,859.4,2395.5,2390.3,2391,1220.9,1219.9,1221.6,3441.9,3438.1,3439,6794.9,6794.4,6797.6,3614.1,3611.3,176.6,167,8743.1,8746.1,8750.2,3572.3,3573.7,3576.2,4410.6,4411.1,4414.4,16699.6,16700.7,16690,167,167,37.990002,25.030001
126151232,5508077,7291.3,7289.9,7292,6366.6,6364.4,6366.7,14497.8,14496.2,14496.5,6201.8,6200.1,6204.6,405.8,406.9,9063.7,8671.8,5685.2,5687.2,5685.6,60050.2,60048.8,60052.3,8523.6,8522.5,8522.5,4797.4,4795.7,4803.5,1896.6,1889.6,1915.5,859.4,2395.5,2390.3,2391.1,1220.8,1219.8,1221.5,3441.9,3437.7,3438.3,6793.6,6792.6,6797.1,3612.9,3610.7,176.5,167,8738.4,8738.9,8741.3,3571,3573,3574.6,4411.7,4411.2,4413.6,16686.7,16679.7,16678.9,167,167,37.91,25.040001
