CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,CH53,CH54,CH55,CH56,CH57,CH58,CH59,CH60,CH61,CH62,CH63,CH64,Humidity,Temp
122172784,5283886.5,7221.1,7220.8,7223.1,5581.3,5577.1,5580.5,14236.5,14236.6,14238.1,6319.1,6317.7,6321.3,406.3,407.4,9072.4,8679.7,5550.6,5553.2,5551.5,58456.1,58452.5,58458.4,8034.3,8033.1,8034.4,4701.3,4699.9,4706.4,1898.2,1891,1917,860.1,2329.6,2324.6,2325.6,1228,1227,1228.8,3388.5,3384.8,3385.7,6862.2,6861.8,6865.1,3615,3612.4,176.8,167,8295.5,8295.7,8302.4,3296.7,3297.1,3299.2,4166.5,4166.1,4167.3,15149.1,15142.2,15146.5,167,167,35.43,26.65
120214400,5149415.5,7221.4,7220.3,7222,5580.9,5580.6,5584.4,14236,14235.6,14235.8,6319.3,6317.7,6321.2,406.3,407.4,9072.4,8679.9,5550.3,5551.8,5550.7,58446.7,58439,58443.1,8034.1,8033.5,8031.7,4701.4,4699.4,4706.5,1897.9,1891.1,1917,860.1,2329.4,2324.3,2325,1228,1227,1228.7,3388.4,3384.9,3385.5,6862.6,6862,6865.6,3612.9,3609.5,176.8,167,8295.2,8297.6,8300.6,3296.9,3297.8,3299.1,4166.1,4166.5,4167.7,15149.7,15150.9,15153.9,167,167,35.41,26.629999
141809280,5175521,7220.5,7219.3,7221,5579.3,5578,5581.4,14233.3,14232.7,14233.8,6318.3,6317.2,6321.3,406.3,407.4,9072.3,8679.9,5549.6,5551.9,5550.7,58443.6,58444.1,58449.6,8035,8033.7,8032.8,4701.3,4699.3,4706.4,1898.3,1891.1,1916.9,860.1,2329.4,2324.3,2325,1228.1,1227,1228.7,3389.1,3385.1,3385.6,6863,6861.4,6864.9,3612.5,3611,176.8,167,8303.8,8308.3,8307.6,3297.9,3298.6,3300.6,4165.9,4168,4169.1,15150.4,15160.7,15154.2,167,167,35.459999,26.639999
143690320,5158497,7221.1,7219.4,7221.3,5578.5,5578.6,5582.4,14234.2,14232.5,14234.7,6318.8,6317.4,6320.9,406.3,407.4,9072.1,8679.8,5549.7,5551.5,5550.1,58445.3,58447,58443.7,8032.3,8032.1,8031.3,4700.7,4699.2,4706.4,1898.3,1891.2,1917.1,860.2,2329.4,2324.4,2325.2,1228,1227,1228.7,3388.1,3384.8,3385.3,6861.4,6861.2,6864.6,3613.8,3611.3,176.8,167,8300.3,8301.2,8307.4,3295.5,3295.4,3297.7,4167.9,4167.7,4169.1,15152.8,15144.6,15145,167,167,35.439999,26.639999
118222160,5093546.5,7220,7219.2,7221.5,5579.9,5577.5,5581.8,14233.1,14232.2,14231.8,6319.4,6318.1,6322,406.3,407.4,9072.4,8679.8,5549.3,5551.5,5549.8,58438.2,58434.8,58446.9,8033,8032,8031,4701.4,4699,4706.7,1898.3,1891.1,1917,860.2,2329.2,2323.7,2324.5,1228.1,1227.1,1228.7,3388.2,3384.8,3385.2,6860.7,6859.4,6863.2,3611.4,3611.3,176.8,167,8302.4,8303.6,8307.7,3297.8,3298.4,3300.6,4168.7,4166.4,4170.3,15163.6,15155.1,15162,167,167,35.470001,26.639999
121538176,5131256.5,7219.9,7218.9,7221,5578.7,5578.7,5581.4,14232,14229.7,14230.5,6318.5,6317.7,6321.6,406.3,407.4,9072.2,8679.7,5548.9,5550.8,5549.8,58431.4,58431.4,58435.9,8032,8030.1,8029.2,4701.2,4698.8,4706.5,1898.2,1891.1,1917,860.2,2329.6,2324.4,2325,1228,1227,1228.6,3388.5,3384.9,3385.6,6861.1,6860.6,6863.2,3611.1,3609.2,176.8,167,8300.7,8299.6,8304.9,3297.3,3298.6,3300.8,4166.1,4165.7,4167.9,15147.8,15144.4,15148.4,167,167,35.439999,26.629999
142396128,5287994.5,7219.9,7218.9,7220.9,5577.1,5577.1,5580.3,14230,14228.9,14230.8,6319.4,6317.6,6321.5,406.3,407.4,9072.3,8679.5,5548.3,5550.8,5548.9,58427,58416.5,58424.4,8033.5,8031.8,8031.4,4701,4699.2,4706.6,1898.2,1891,1917,860.1,2329.1,2323.9,2324.8,1228,1227,1228.7,3388.2,3384.5,3385.2,6861.7,6860.8,6863.8,3613.8,3611.7,176.8,167,8299.8,8303.6,8305.8,3297.5,3298.6,3300.5,4168,4166.8,4171.6,15175.8,15169.6,15168.2,167,167,35.470001,26.65
141261344,5221860.5,7219.2,7218.4,7220,5577.9,5578.7,5582.2,14230.1,14229.3,14230.3,6319.7,6318,6321.3,406.3,407.4,9072.7,8680,5548.3,5550.1,5548.7,58421.2,58431,58420.7,8032.2,8031,8029.4,4700.8,4698.8,4706.5,1898.2,1891.1,1917,860.1,2329,2323.6,2324.7,1228,1227.1,1228.7,3388.4,3384.9,3385.6,6861.5,6861.2,6863.8,3613.9,3611.9,176.8,167,8303.9,8300.9,8305.4,3296.5,3298.6,3298.9,4168.1,4166.6,4170,15162.5,15154.6,15163.1,167,167,35.48,26.639999
123020664,5103411.5,7219.7,7218,7220.3,5574.7,5573.6,5577.8,14231.1,14229.9,14231.2,6319.6,6318.3,6322.1,406.3,407.4,9072.6,8679.7,5547.1,5549.7,5548.3,58436,58420,58431.6,8029.8,8030.1,8029.1,4700.8,4698.7,4706.2,1898.2,1891,1917,859.9,2328.8,2323.6,2324.5,1228,1227,1228.8,3388.6,3384.9,3385.6,6862.3,6861.7,6864.6,3613.2,3611,176.8,167,8301.8,8302.8,8308.7,3297.5,3299.2,3301.3,4168.5,4168.3,4170.4,15179.5,15160.8,15168.8,167,167,35.509998,26.629999
127860824,5127029,7219.2,7218.6,7220.5,5577.9,5576.5,5581,14229.6,14228.2,14230,6319.9,6318.1,6321.7,406.3,407.4,9072.5,8679.3,5546.9,5549,5547.8,58418.9,58414.1,58425.7,8031.8,8029.4,8028.4,4700.4,4698.8,4705.9,1898.3,1891,1916.9,860.2,2328.6,2323.7,2324.4,1227.9,1227,1228.7,3388.1,3384.9,3385.4,6862.3,6862.1,6865.3,3613.2,3611.5,176.8,167,8300.4,8303.2,8304.5,3295.7,3297.6,3298.9,4164,4163.2,4166.1,15160.3,15157.5,15148.1,167,167,35.490002,26.639999
142534912,5077101,7218.9,7217.2,7219.4,5580.5,5579.7,5584.1,14227.2,14226.1,14229.1,6319.5,6318.2,6322,406.3,407.4,9072.3,8680,5547,5549.3,5547.4,58422.6,58412,58430.6,8032.6,8030.4,8030.4,4700.6,4698.5,4706.3,1898.3,1891.1,1917,860.1,2328.8,2323.7,2324.2,1228.1,1227.1,1228.8,3388.3,3384.5,3385.3,6863.7,6862.1,6865.2,3612.7,3610.1,176.8,167,8303.2,8305.6,8313.3,3295.2,3297.8,3300.2,4166.6,4165.1,4168.5,15165.8,15152.9,15153.3,167,167,35.470001,26.639999
