CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36,CH37,CH38,CH39,CH40,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,CH53,CH54,CH55,CH56,CH57,CH58,CH59,CH60,CH61,CH62,CH63,CH64,Humidity,Temp
137995584,5756266.5,8878.2,8877.1,8880,6171,6169.8,6175.3,15639.1,15636.1,15637.4,6661.2,6659.1,6663.3,406.2,407.3,9071.3,8678.2,5905.4,5907.9,5906.5,61967.7,61976,61974.1,8670.9,8668.4,8668.6,4897.2,4895.4,4902.3,1898,1890.8,1917.1,860,2428.2,2423,2424,1240.9,1239.9,1241.5,3500.9,3497.7,3498.1,6934.9,6934.5,6937.4,3616.7,3614.7,176.8,167,8424.2,8430.7,8432.6,3384.1,3384.6,3386.5,4298.4,4299.3,4300,15772.3,15771.4,15774.1,167,167,36.709999,26.360001
140548608,5549357,8880.1,8879,8879.9,6172.9,6171,6174.4,15634.6,15635.4,15635.3,6660.8,6659.5,6663.6,406.2,407.4,9071.2,8678.5,5905.3,5907.6,5906.3,62002.2,61990.3,61991,8671.1,8668.8,8670.7,4896.2,4894.1,4901.7,1898,1890.8,1917.2,860.1,2428.8,2423.3,2424.3,1241,1239.9,1241.6,3501.1,3497.7,3497.9,6934.3,6933.3,6937.6,3616.2,3614.3,176.8,167,8429,8425.3,8430.2,3384.6,3385.9,3386.9,4299.3,4299.4,4302.7,15789.7,15791.6,15795.7,167,167,36.48,26.34
130194360,5433482.5,8881.3,8881.2,8883,6178.5,6176.2,6182.4,15639.9,15639.3,15641.8,6661.3,6660.3,6663.3,406.2,407.3,9071.5,8678.3,5905.9,5908.6,5907.6,61962.2,61960.9,61959.4,8670.9,8669.8,8668.4,4897.4,4895.5,4902.8,1898.1,1890.9,1917.1,860.1,2428.4,2423.6,2424.7,1240.9,1240,1241.5,3501.6,3497.7,3498.3,6935,6934.7,6937.9,3616.5,3614.4,176.8,167,8430.8,8438.5,8435.1,3383.9,3385.2,3386.8,4298,4299.7,4302.7,15791.1,15780.1,15773.2,167,167,36.560001,26.34
141671888,5787990.5,8885.9,8884.4,8886.4,6175.4,6170.8,6172.6,15644.6,15644.7,15645.7,6662.6,6661.1,6664.4,406.2,407.3,9070.9,8678.2,5907,5909.1,5907.8,62002.9,61992.5,61984.6,8669.6,8671.2,8669.7,4898.5,4896.6,4903.7,1898,1890.9,1917.1,860.1,2429.1,2424,2424.4,1240.9,1239.8,1241.5,3501.2,3497.6,3498.2,6933.9,6932.6,6936.4,3615.6,3613.6,176.8,167,8429.3,8432.7,8434.4,3385.5,3386.2,3388.5,4297.1,4297.6,4300,15794.6,15789.9,15792.3,167,167,36.68,26.34
126505896,5195286.5,8888.9,8887.6,8890.5,6170.1,6169.8,6173.2,15644.4,15644.5,15645.6,6663,6662,6665.4,406.2,407.3,9070.9,8678.3,5906.6,5909.2,5907.7,61990.7,61984.5,61992.4,8671.5,8669,8669.7,4898.3,4896.5,4903.6,1898,1890.9,1917.3,860.2,2428.8,2423.7,2424.5,1240.8,1239.7,1241.5,3501.4,3497.8,3498.3,6934.2,6932.8,6935.8,3616.4,3614.4,176.8,167,8428,8429.6,8433.5,3384.3,3385.1,3387.3,4300.6,4301.5,4303,15785.8,15783.1,15796.5,167,167,36.52,26.34
139343328,5343789.5,8889.7,8887.6,8890.7,6166.4,6166.1,6170,15645.8,15646.3,15648,6663.2,6661.2,6664.9,406.2,407.3,9071.1,8678.5,5907,5909.3,5907.8,61947.4,61935.3,61938.8,8671.1,8669.7,8670.7,4898.3,4895.9,4903.6,1898,1890.9,1917.1,860.1,2429,2423.7,2424.5,1240.7,1239.7,1241.5,3500.9,3497.4,3498,6933,6932.5,6936,3616.6,3614.6,176.8,167,8428.5,8435,8436.2,3383.7,3385.7,3387.7,4300.9,4301.8,4304.2,15800.6,15794.3,15795.2,167,167,36.529999,26.34
130776496,5190768.5,8892.1,8892,8893.7,6167.2,6165.4,6169.6,15649.6,15650.2,15653.2,6663.8,6662.2,6666.3,406.2,407.3,9071.1,8678.3,5908.1,5910.2,5908.5,61934.1,61965.8,61954.3,8670.9,8670.1,8670.8,4897.7,4895.7,4903,1898,1890.9,1917.1,860.1,2429.1,2423.8,2424.8,1240.6,1239.7,1241.3,3500.7,3496.8,3497.9,6930.4,6930,6933.5,3616.7,3614.5,176.8,167,8429.8,8429.2,8434.3,3383.5,3385.5,3388.3,4304,4303.8,4304.7,15792.6,15801.1,15794.9,167,167,36.599998,26.370001
135126656,5443392,8896.6,8894.6,8897,6167,6165.1,6169.1,15649,15647.4,15649,6663.7,6662.5,6665.8,406.2,407.3,9071,8678.6,5907.1,5909.4,5908.1,61933.6,61933.2,61929,8672.5,8671,8670.7,4897.1,4894.9,4902.8,1898,1890.8,1917.1,860.1,2429.1,2423.6,2424.3,1240.5,1239.5,1241.2,3500.2,3496.4,3497.1,6929.8,6928.8,6932.9,3615.1,3612.4,176.8,167,8432.1,8430.6,8434.6,3384.7,3386,3387.9,4300.1,4300.3,4304.9,15802.4,15803.1,15801.3,167,167,36.529999,26.33
122172784,5488181,8900.2,8898.5,8900.7,6172.3,6170.9,6175.5,15652.6,15651.6,15655.3,6664.7,6663.5,6667.6,406.2,407.3,9070.9,8678.5,5908.1,5910,5908.9,61924.3,61929.9,61934.7,8667.3,8667.5,8666.8,4895.6,4894.3,4901.6,1897.9,1890.8,1917.1,860.1,2428.8,2423.8,2424.2,1240.5,1239.5,1241.2,3499.7,3496.2,3496.9,6928.2,6927.4,6930.9,3615.4,3613.3,176.8,167,8436.3,8431.5,8436.3,3385.4,3386.6,3389.7,4302.7,4301.1,4302.2,15789.5,15788.2,15794.7,167,167,36.650002,26.33
127498536,5157951.5,8903.8,8902,8903.4,6169.4,6168.8,6172.2,15656.6,15655.6,15658.7,6665,6663.9,6667.1,406.2,407.3,9071,8679.1,5908.2,5910.7,5909.3,61926.5,61918.7,61930.2,8670.1,8668.4,8669.6,4898.3,4895.8,4903.5,1898,1890.8,1917.1,860.2,2428.8,2423.5,2424.2,1240.4,1239.3,1241,3499.8,3496,3496.7,6926.2,6926.4,6929.7,3615.1,3613,176.8,167,8432.3,8434,8439.3,3384.9,3385.7,3386.5,4302.9,4300.6,4304.8,15790.2,15789.8,15779.5,167,167,36.599998,26.33
136386880,5692242,8903.6,8902.1,8903.8,6173,6170.6,6177.1,15661.5,15657.9,15659.4,6664.2,6662.8,6666.5,406.2,407.3,9070.8,8678.4,5908.6,5910.5,5909.3,61923.1,61923.6,61926.1,8668.8,8670.2,8667.8,4897,4895.2,4902.9,1898,1890.9,1917.2,860.1,2428.9,2423.6,2424.4,1240.3,1239.3,1241,3499.2,3495.7,3495.9,6923.1,6922.5,6925.2,3616,3613.8,176.8,167,8432.5,8437.2,8435.4,3385.2,3387,3388.7,4302.1,4301.4,4303.4,15792,15791.3,15779.7,167,167,36.509998,26.360001
