start;193443.4;193025.0;62197.5;62178.2;62154.7;120557728.0;83064704.0;35546812.0;35233.6;35212.3;35197.9;98527.6;98425.2;98340.7;73122.5;73126.0;36074.9;36060.3;17217.8;17233.6;17245.4;4766.2;4761.9;4757.9;30086.5;30086.2;30095.8;23097.9;23087.9;23073.3;21715.0;21710.9;51567.4;51625.6;119836.8;119893.9;119611.1;17926.5;17912.1;17908.1;269891.3;271502.0;271038.7;61089.7;61056.0;61048.9;36420.9;36438.7;29846.8;29836.0;26089.5;26094.1;26104.4;30862.2;30874.4;30864.3;13332.8;13322.7;13316.7;28250.9;28263.9;28268.2;38435.5;38352.7;32.060001;39.240002
start;191027.6;191162.2;60891.8;60873.7;60853.5;6463676.5;190329328.0;55123896.0;34696.6;34673.1;34661.4;95588.8;95532.2;95465.6;72902.5;72894.4;35976.6;35981.9;17077.4;17090.8;17099.4;4714.2;4708.5;4705.9;29509.0;29514.7;29513.9;22806.5;22798.6;22784.6;21686.2;21685.7;51349.0;51415.0;116925.4;116663.3;116304.2;17445.9;17435.5;17430.9;260325.2;260054.6;258458.1;58382.7;58407.2;58469.2;36310.6;36312.9;29644.6;29620.4;25295.5;25309.3;25319.3;30330.3;30318.5;30295.4;13074.1;13067.5;13067.0;27607.6;27617.0;27602.3;38194.7;38116.5;32.070000;39.369999
start;189542.3;189866.0;59630.6;59602.4;59548.2;5929291.5;36875408.0;72806704.0;34185.3;34166.5;34152.2;93091.5;93082.4;93069.0;72694.5;72663.2;35914.6;35916.0;16888.1;16906.3;16912.4;4634.0;4630.0;4624.9;28729.7;28740.4;28741.2;22459.9;22452.6;22429.3;21652.6;21655.4;51104.9;51140.9;113531.3;113181.6;112953.9;16950.1;16948.4;16947.3;249731.0;248522.4;247000.4;56003.6;56047.4;56096.0;36183.8;36172.9;29455.8;29437.2;24636.1;24645.8;24657.5;29853.1;29831.8;29800.7;12856.9;12853.5;12854.0;27064.8;27050.9;27013.5;37990.1;37968.3;32.070000;39.310001
start;188211.5;188485.8;58356.4;58328.1;58270.9;5651954.0;61505924.0;41855980.0;33689.2;33682.3;33672.9;90678.2;90660.1;90611.2;72472.3;72438.8;35778.7;35783.8;16666.3;16685.9;16692.8;4540.1;4534.9;4531.0;27822.4;27816.3;27820.5;21999.4;21997.4;21983.6;21611.5;21615.8;50787.5;50769.7;109585.1;109234.5;109187.0;16334.3;16330.6;16322.9;235358.6;233959.3;233275.3;52899.2;52961.0;53025.8;36021.2;36004.6;29233.9;29228.4;23882.8;23894.5;23898.9;29301.9;29273.5;29248.6;12614.0;12612.9;12614.6;26413.3;26386.1;26349.1;37792.4;37822.1;32.080002;39.290001
start;186701.1;186905.7;56990.8;56938.5;56899.0;5407905.0;420379552.0;420379552.0;33159.1;33151.4;33149.4;87839.5;87760.3;87653.3;72206.3;72202.0;35703.1;35713.1;16531.5;16551.3;16556.0;4496.1;4491.6;4488.8;27425.7;27431.5;27436.3;21759.3;21738.6;21749.6;21589.3;21592.1;50523.0;50458.5;107109.5;107021.9;107158.0;16048.8;16044.6;16037.0;228608.0;227581.1;227903.1;51630.0;51688.5;51713.1;35884.1;35863.0;29034.2;29032.9;23189.2;23204.9;23204.3;28776.2;28747.9;28733.1;12383.8;12382.2;12381.7;25788.4;25750.4;25722.9;37629.9;37693.7;32.110001;39.200001
start;185060.2;184976.1;55595.5;55556.2;55539.7;5274696.5;147389168.0;5386167.0;32607.4;32592.3;32592.2;84717.9;84686.0;84642.8;71960.1;71928.6;35631.9;35662.0;16421.9;16442.8;16447.7;4469.7;4465.0;4462.3;27108.9;27119.6;27118.1;21608.2;21598.4;21596.1;21565.5;21565.5;50314.2;50290.2;105544.4;105323.6;105354.0;15826.0;15825.9;15825.4;225068.2;223873.2;223457.8;50679.9;50761.5;50830.2;35785.7;35764.5;28868.7;28861.6;22648.6;22664.2;22668.3;28375.1;28351.1;28330.6;12209.1;12210.5;12211.7;25390.9;25361.3;25327.6;37476.7;37510.3;32.099998;39.230000
start;183523.1;183568.5;54644.4;54598.7;54581.1;5110451.5;5309408.0;5510729.5;32134.1;32120.6;32105.8;82384.9;82361.8;82330.6;71741.6;71749.2;35605.9;35607.1;16325.8;16345.1;16351.6;4444.6;4440.7;4437.0;26806.9;26746.6;26829.4;21437.7;21447.7;21415.8;21543.4;21543.5;50012.4;50079.9;104552.4;104394.6;104126.4;15633.7;15631.0;15634.6;222102.7;222454.1;221630.0;49908.5;49937.9;50004.4;35677.7;35689.2;28723.1;28706.5;22133.0;22136.7;22143.5;27979.8;27976.5;27958.3;12043.9;12037.9;12036.3;24925.6;24936.4;24930.9;37435.4;37348.9;32.110001;39.250000
start;181406.2;181689.7;53704.2;53680.5;53656.8;5008417.5;4927635.0;5015734.0;31675.1;31671.4;31662.4;80443.7;80398.3;80323.2;71499.4;71525.8;35577.0;35576.5;16198.1;16219.1;16224.9;4403.8;4398.3;4395.3;26406.4;26405.8;26402.8;21202.8;21204.8;21192.9;21528.9;21525.8;49766.8;49751.7;102379.6;102596.2;102667.5;15363.7;15347.8;15338.2;214362.5;215460.5;216395.3;48590.0;48585.3;48567.7;35526.4;35536.0;28553.1;28553.9;21621.7;21620.2;21619.2;27551.9;27559.0;27569.3;11890.1;11885.2;11878.3;24492.5;24494.8;24511.8;37367.8;37364.4;32.139999;39.330002
start;180271.9;179987.5;52822.7;52806.1;52806.1;5279765.5;5124276.0;4938185.0;31253.1;31245.1;31244.7;78888.1;78825.1;78764.0;71294.8;71280.6;35495.2;35505.7;16056.4;16070.5;16078.2;4351.2;4347.5;4345.1;25938.4;25944.4;25954.9;20978.6;20948.3;20964.7;21497.1;21498.4;49652.4;49580.3;100340.6;100289.9;100498.1;15083.7;15082.3;15076.0;209280.4;208752.5;209336.6;47429.3;47492.7;47523.0;35440.5;35417.9;28394.1;28393.2;21220.8;21231.3;21236.7;27245.1;27224.3;27224.9;11762.3;11762.8;11761.8;24227.2;24195.9;24175.5;37121.0;37181.1;32.160000;39.360001
start;179639.8;179453.6;52242.9;52207.4;52194.8;5098938.5;5284336.5;5320534.0;30894.7;30880.0;30873.7;77611.8;77591.2;77600.7;71160.2;71116.1;35441.4;35444.1;15967.8;15983.0;15992.3;4325.0;4320.7;4318.0;25653.4;25665.4;25675.1;20789.3;20782.4;20759.1;21471.3;21471.2;49388.0;49434.4;99017.9;98791.5;98602.2;14840.4;14838.8;14841.6;206185.5;205447.5;204635.1;46313.4;46364.2;46431.9;35346.4;35340.2;28212.3;28196.2;20661.7;20673.4;20684.4;26819.8;26806.7;26781.3;11563.9;11563.2;11566.0;23703.7;23702.4;23680.8;36956.6;36925.7;32.169998;39.320000
